Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2024-02-02,141.86573791503906,142.1048613208855,136.00697121299544,138.75699680595707,62470600
2024-02-05,143.1610107421875,144.94455365415317,142.26426768504354,142.30413171637227,38505400
2024-02-06,143.57952880859375,144.83497231956045,142.67281200439112,144.12753009117665,29128200
2024-02-07,145.01431274414062,145.09402561403104,143.41012734632514,144.23713126730334,25208900
2024-02-08,145.3829803466797,145.8014614926525,144.5759084791839,145.30326748025513,22563800
2024-02-09,148.46182250976562,148.90023569338922,145.65200085309178,146.15019488835944,26829500
2024-02-12,146.9971160888672,148.80057588309657,146.8376903646867,147.88390077456958,21564100
2024-02-13,144.61575317382812,146.14022559186256,143.17099361993803,144.39654659834972,27837700
2024-02-14,145.41287231445312,145.9907791994086,143.5695483675491,145.5523660312579,22704200
2024-02-15,142.2543182373047,143.00160923320863,139.9526644025084,142.62297693010822,37590700
2024-02-16,140.012451171875,142.6728054053805,139.6338188527591,142.47353083877866,31451100
2024-02-20,140.6102752685547,141.56681447608818,138.9861731026745,139.15555724494791,25144700
2024-02-21,142.0351104736328,142.17460418355395,140.17185460093927,140.93907760734248,23315700
2024-02-22,143.56954956054688,144.47626632914975,142.28421567385627,144.40651186833028,27191900
2024-02-23,143.4400177001953,144.15740304546077,142.91191809295157,143.15105667715588,19493800
2024-02-26,137.0731201171875,141.92552536635725,136.89376235078677,141.6266058914734,53641800
2024-02-27,138.37835693359375,138.74701559279427,136.59481407188093,137.52146272824896,33099200
2024-02-28,135.8874053955078,137.511507557848,134.92090778300894,137.4019042655953,37328600
2024-02-29,137.95989990234375,138.35844905187955,135.90732769157543,136.7841540649648,42133000
2024-03-01,136.6446533203125,138.36840034880373,136.42544673822982,137.9299871846384,31119500
2024-03-04,132.86834716796875,135.17000103766665,131.43354600148837,135.17000103766665,55999400
2024-03-05,132.1907958984375,132.75874436377524,130.1980198718621,131.40365605755701,40194800
2024-03-06,130.9253692626953,133.09750287827276,130.37736805851614,132.63915773615787,35318600
2024-03-07,133.89462280273438,134.4525976438854,131.1346238166757,132.31035434571908,37738200
2024-03-08,134.9208984375,137.59121089480263,133.51598775330365,133.72523591626486,39343100
2024-03-11,137.1727294921875,138.59757218986644,135.6382987137455,135.6382987137455,32437800
2024-03-12,137.99974060058594,138.87656692228538,136.53504899669008,136.53504899669008,27563400
2024-03-13,139.28506469726562,140.58037207166473,138.48796650102636,138.4979249071936,23347200
